word,meaning,level
abandon,放弃,四级
ability,能力,四级
absent,缺席的,四级
absorb,吸收,四级
abstract,抽象的,四级
abundant,丰富的,四级
academic,学术的,四级
accelerate,加速,四级
access,通道；访问,四级
accident,事故,四级
accompany,陪伴,四级
accomplish,完成,四级
according,根据,四级
account,账户；解释,四级
accumulate,积累,四级
accurate,准确的,四级
accuse,指责,四级
achieve,实现,四级
acknowledge,承认,四级
acquire,获得,四级
active,积极的,四级
actual,实际的,四级
adapt,适应,四级
addict,沉溺；上瘾,四级
addition,增加,四级
address,地址；演讲,四级
adequate,充足的,四级
adjust,调整,四级
admire,钦佩,四级
admit,承认,四级
adopt,采用；收养,四级
advance,前进；进步,四级
advantage,优势,四级
adventure,冒险,四级
advertise,做广告,四级
advice,建议,四级
affect,影响,四级
afford,负担得起,四级
afraid,害怕的,四级
agency,机构,四级
agenda,议程,四级
aggressive,侵略的；有进取心的,四级
agree,同意,四级
agriculture,农业,四级
ahead,在前,四级
aid,援助,四级
aim,目标,四级
airline,航空公司,四级
alarm,警报,四级
album,相册,四级
alcohol,酒精,四级
alert,警觉的,四级
alien,外星人；外国的,四级
alike,相似的,四级
alive,活着的,四级
allow,允许,四级
almost,几乎,四级
alone,单独的,四级
along,沿着,四级
already,已经,四级
also,也,四级
alter,改变,四级
alternative,替代的,四级
although,尽管,四级
altitude,高度,四级
amaze,使惊奇,四级
ambition,雄心,四级
amount,数量,四级
amuse,逗笑,四级
analyse,分析,四级
ancestor,祖先,四级
ancient,古代的,四级
anger,愤怒,四级
angle,角度,四级
animal,动物,四级
anniversary,周年纪念,四级
announce,宣布,四级
annual,每年的,四级
another,另一个,四级
answer,回答,四级
anxiety,焦虑,四级
anxious,焦虑的,四级
anybody,任何人,四级
apart,分离的,四级
apology,道歉,四级
apparent,明显的,四级
appeal,呼吁；吸引,四级
appear,出现,四级
appetite,胃口,四级
applaud,鼓掌,四级
apply,应用；申请,四级
appoint,任命,四级
appreciate,欣赏；感激,四级
approach,接近；方法,四级
appropriate,适当的,四级
approve,批准；赞成,四级
